pc_learn;learning_outcome;cat_1;cat_2
0;Schüler ohne Lehrer haben manchmal dumme Ideen;Nichts;
1;Schüler ohne Schulabschluss können sich nicht auf Wesentliches konzentrieren;Situationsdiagnostik;
1;Schüler rauchen wo sie wollen;Situationsdiagnostik;
4;Schüler schlecht auf Prüfungen vorbereitet;Situationsdiagnostik;
0;Schüler schweifen immer wieder vom eigentlichen Unterrichtsinhalt ab und lenken so die Aufmerksamkeit auf andere Dinge.;Situationsdiagnostik;
2;Schüler schwer zu motivieren;Situationsdiagnostik;
4;Schüler sind am letzten Schultag vor den Ferien schwer zu morivieren;Situationsdiagnostik;
7;Schüler sind leicht durch Wissensspiele zu motivieren!;Situationsdiagnostik;
0;Schüler sind manchmal extrem unentschieden (Teilnahme am KMK-Zertifikat);Situationsdiagnostik;
0;Schüler sind nicht motiviert (BK1, einige schaffen die Voraussetzungen für BK2 nicht);Situationsdiagnostik;
0;Schüler sind schlecht zu motivieren;Situationsdiagnostik;
7;Schüler sind sehr langsam (weniger schreiben lassen), sehr einfache Erklärungen machen;Situationsdiagnostik;
1;Schüler sind zu spät aus einem Vortrag der Bundeswehr zum Ukrainekonflikt gekommen, es (mögl.Atomkrieg) beschäftigt sie extrem stark, wurde von einem Schüler verbal aggressiv angesprochen;Situationsdiagnostik;
1;"Schüler stellen sich ""doof"" an";Situationsdiagnostik;
0;Schüler tauchen in der Pause auf und haben Bedürfnisse ( Gahrkarten, Erstattung Fahrkarten, Krankmeldung);Nichts;
0;Schüler tragen private Konflikte in die Schule und werden auch aggressiv;Nichts;
0;Schüler und aufräumen;Nichts;
1;Schüler vorbereiten auf Prüfungen. Die Vorbereitung reicht nie aus.;Situationsdiagnostik;
3;Schüler werden immer unzuverlässiger. Man muss bestimmten Unterlagen ständig hinterherlaufen.;Situationsdiagnostik;
0;Schüler wollen im nachhinein um jeden Punkt kämpfen, den sie bei einer Klassenarbeit nicht bekommen konnten;Situationsdiagnostik;
1;Schüler wollen immer gleich Lösungen haben und nicht selber nachdenken;Situationsdiagnostik;
1;Schüler wollen immer mehr;Situationsdiagnostik;
2;Schüler wollen zwischen BK und WO erst noch ein FSJ machen, anstatt wie erwartet nach der Schule;Nichts;
2;Schüler, der zum Halbjahr in die Klasse aufgenommen wirde war letzte Woche krank. Und sucht permanent Rat beim Nachbarn, der lautstark hilft. Restliche Schüler langweilen sich (sollten besser Zusatzaufgaben haben);Nichts;
0;Schüler/innen haben keinen bock auf schule corona erfahrungen der sus unglaublich hoch und negativ für ihren bildungsstand und dessen ausbau;Situationsdiagnostik;
2;Schüler:innen werden nicht gerne unterbrochen;Situationsdiagnostik;
2;Schülerantworten auf Klassenarbeitsfragen und damit ein Verständnis für die Fragestellung;Situationsdiagnostik;
1;Schülerantworten einschätzen;Situationsdiagnostik;
1;Schülerarbeit in der ÜFA muss noch regelmäßiger kontrolliert werden (in Ferien?!), sonst zu viel unzufriedene Kunden;Situationsdiagnostik;
1;Schülerdaten Blatt mit Noten versehen;Nichts;
1;Schüler-Doku zu Sitzmöbeln amgeschaut;Nichts;
2;Schülerentscheidungen sind individuell - schwierig;Situationsdiagnostik;
1;Schülerfragen liefern Anhaltspunkte für mögliche Themenabwandlung;Situationsdiagnostik;
0;Schülergespräch mit SchulSozArb und Klassenlehrer;Nichts;
1;Schülerhandeln bleibt ohne konsequenzen,kaum maßnahmen;Situationsdiagnostik;
1;Schüler-Hintergründe;Nichts;
5;Schülerin berichtete, dass sie ihren Entzug abgebrochen hat;Nichts;
1;SchülerInnen benötigen noch mehr Zeit bei der Ausführung der gestellten Aufgaben;Situationsdiagnostik;
0;SchülerInnen müssen Eigeninitiative zeigen;Nichts;
2;SchülerInnen sind dankbar, wenn man sich für sie einsetzt;Situationsdiagnostik;
1;Schülerinnen zeigen manchmal mehr Interesse an Unterrichtsthemen, als wir ahnen.;Situationsdiagnostik;
1;"Schülermails zu projektthemen 
";Nichts;
0;Schülermotivation steigern;Sonstiges;
0;Schülern mitgeteilt,wer durchgefallen ist,ein Schüler gibt uns die Schuld;Nichts;
2;Schülern muss man den Ablauf der Prüfung sehr genau erklären;Situationsdiagnostik;
2;Schülerpräsentationen können auch lehrreich sein;Situationsdiagnostik;
2;Schülerprobleme;Nichts;
1;Schüler-Theaterspiel umsetzen;Nichts;
3;Schülerverhalten muss nicht direkt was mit Lehrerverhalten Zumutungen haben;Situationsdiagnostik;
4;Schülerzeitungen;Nichts;
0;Schulgesetz über Pflichten und Rechte des Schulträgers;Wissenserweiterung;
2;Schulinterne Abläufe;Wissenserweiterung;
0;Schuljahresende ist immer etwas schwieriger. Die Motivation der Schüler ist sehr niedrig.;Situationsdiagnostik;
3;Schulkunde;Nichts;
0;Schulleitung ansprechen wegen Umgang mit Coronaleugnerfamilie;Nichts;
1;Schulleitung der Nachbarschule hat strengere Vorstellungen bei verspäteten Bewerbern;Situationsdiagnostik;
5;Schulorganisation;Nichts;
3;"Schulorganisation
";Nichts;
6;Schulrecht Bawü;Wissenserweiterung;
2;"Schulrecht
";Wissenserweiterung;
1;Schulregeln gelten für manche Eltern nicht;Nichts;
3;Schulsystem und Unterrichtsmethoden;Wissenserweiterung;Lernen neuer Arbeitsmethoden
3;Schulträger verletzt eklatant seine Pflicht zur Beteiligung der Schulleitung und das zum wiederholten Mal, ist uneinsichtig gegen vorgebrachte Argumente und will in Zukunft wieder so verfahren.;Situationsdiagnostik;
2;Schulung der Sekretärinnen lief besser als vermutet;Situationsdiagnostik;
2;Schulunterricht;Nichts;
7;Schul-w-lan durch eigenen Hotspot ersetzen;Nichts;
1;Schwache SuS müssen Theorieinhalte behandeln bevor Praktische Aufgaben durchgeführt werden können. Theorie in der Praxiseinheit ist in der Umsetzung nicht möglich;Situationsdiagnostik;
0;Schwierig die Klasse 1BFMF zu motivieren;Situationsdiagnostik;
2;Schwierige Klasse - Classroom  Management;Festigung von Kernkompetenzen;
1;Schwierige Klasse, viele praktische Übungen;Nichts;
1;Schwierige Schüler - gelassen geblieben, schülerfreundliche, positive Kommunikation, Respekt eingefordert, Störungen erfolgreich beseitigt;Situationsdiagnostik;Gelassenheit
7;"Schwieriges Gespräch mit SuS führen; Situation und Konsequenzen aufzeigen,";Situationsdiagnostik;
2;"Schwierigkeiten bei der Koordination/Planung (kurzfristige Organisation von fehlenden Aufsichten)
Ablauf der Prüfung
Art der Prüfungsaufgaben";Nichts;
7;"Schwierigkeiten der SuS mit dem Text; SuS brauchen die gemeinsame kritische Betrachtung von Argumenten.";Situationsdiagnostik;
1;Schwierigkeiten fordern mich positiv heraus;Fähigkeit zur Selbstreflexion;
4;Scjülerversuche optimieren;Nichts;
2;Sehr angenehm;Nichts;
0;Sehr gute Vorbereitung- halbe Miete;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten;
5;sehr intensiv im direktem Kontakt mit Trainer;Nichts;
0;Sehr viele Aktivitäten bei Lehrern finden paralell statt, nahezu gleichzeitig, stressfördernd-Übersicht behalten und schnell reagieren unter Einhaltung Datenschutz und Amtsgeheimnis, theoretisch wäre jetzt Frühstückspause;Situationsdiagnostik;
0;Sehr viele Schüler/innen sind nach schriftlicher Prüfung völlig unmotiviert. Viele Schüler/innen haben zu bearbeitende Aufgaben wegen Unterrichtsausfall nicht/nicht gründlich bearbeitet. Ein Nachschreibertermin reicht nicht mehr, weil SuS einfach nicht ko;Situationsdiagnostik;
5;Seit neuestem Fachschaftsvorsitzende (für 5 Berufe) - Einblicke in neue Ausbildungsgänge, in denen ich nicht selbst unterrichte;Wissenserweiterung;
1;Sekretariat hat bis 13:30 Uhr geöffnet;Nichts;
2;Sekretariat ist Schwerstarbeit;Situationsdiagnostik;
2;selbst vor Prüfungen sind manche Schüler tiefenentspannt;Situationsdiagnostik;
3;Selbststudium von Simulationssoftware mit YouTube-Videos und Forumsbeiträgen anderer User;Wissenserweiterung;
2;Seminartätigkeit: Wiederholung der Rechte und Pflichten bei der Aufsicht nud bei außerschulischen Veranstaltungen;Nichts;
5;Sensibilität mit Schülersituationen;Situationsdiagnostik;
1;Sensible Fragestellungen formulieren;Nichts;
2;Serienbriefe erstellen mit neuem Oficeprogram.;Wissenserweiterung;
3;Showroom ist tatsächlich Showroom;Nichts;
2;Sich auf verschiedene Kollegen einstellen;Situationsdiagnostik;
0;Sich die Pause abseits des Schulgeschehens gönnen;Pausenbewusstsein und Ressourcenschonung ;
1;Sich nach den Ferien nie auf funktionierende Klassenräume verlassen;Situationsdiagnostik;
0;Sich nicht auf moodle verlassen;Situationsdiagnostik;
1;Sich nie auf die technische Ausstattung verlassen;Situationsdiagnostik;
0;"Sicherheit beim Arbeiten 
";Selbstvertrauen;
0;Sicherheit im Labor;Nichts;
0;"Sicherheit im Labor 
";Nichts;
4;Sicherheit im Umgang und im durchdenken von Prüfungssituationen Kommunikationsprüfung englisch;Festigung von Kernkompetenzen;
3;Sicherung digitaler Unterlagen von OneNote auf anderem Medium;Nichts;
1;Sicht der Fachschaftsvorsitzenden auf den Einsatz von Gesetzessammlung im Unterricht;Wissenserweiterung;
4;Sichtung der Prüfungsaufgaben, Absprache mit Kultusministerium, wiederholtes Kommunizieren an Schüler während der Prüfung, da Prüfungsaufgaben fehlerhaft, kurzfristige Lösungsansätze anbieten für kurzfristig ausgefallene Kollegen in der Prüfungsausicht;Nichts;
1;Sichtung der Übungsaufgaben aus Buch für nachfolgenden Unterricht;Nichts;
0;Siehe gestern;Nichts;
2;siehe heute Vormittag;Nichts;
2;Siehe vorherige Antwort bei Prüfungskorretur;Nichts;
5;Simulationsprogramm gelernt und verstanden;Wissenserweiterung;
6;Sinkende Leistungsbereitschaft von Männern hängt einer wissenschaftlichen Studienzufolge mit der Erfindung der Anti-Baby-Pille zusammen. Männer strengen sich umso mehr an, je schwerer sie an Sex zu gelangen glauben.;Wissenserweiterung;
2;sinnvoll Reduzieren;Festigung von Kernkompetenzen;
3;Sinnvolle Gestaltung der letzten Schulstunden;Nichts;
3;Sinnvolles Wiederholen von Unterrichtsstoff;Nichts;
1;Situation einer Teilzeitreferendarin;Nichts;
3;situative Reaktion auf Fragen der SuS  und umstellen des Unterrichtsverlaufsplans;Situationsdiagnostik;
3;Sitzung der Fachschaftsvorsitzenden, Erfahrungsaustausch;Nichts;
4;Sitzung Digitalisierung (Erfahrungsaustausch);Nichts;
3;Sitzungen verlaufen anders als geplant;Situationsdiagnostik;
3;SJ-Wechsel muss durchgeführt werden;Nichts;
1;S-L Interaktion;Nichts;
4;S-L-Feedback;Nichts;
2;SMV Arbeit;Nichts;
3;SMV, Gespräche führen;Nichts;
0;So viel Kleinkram bei Orga der Klassenfahrt;Nichts;
2;Software muss zentral organisiert werden;Situationsdiagnostik;
3;Software richtig einstellen;Wissenserweiterung;
4;Software/Support, Fehlerbehebung Untis-Stundenplanung;Situationsdiagnostik;
0;SOL Arangement funktioniert;Nichts;
0;SOL klappt;Nichts;
6;SOL-Aufgabenstellung;Nichts;
2;Solidarität und Unterstützung in schwieriger Situation;Gegenseitige Unterstützung;
1;Sommerhitze, Prüfung und Fortbildung an einem Tag sehr schwer vereinbar miteinander;Situationsdiagnostik;
0;Sonntagmorgen ist wenig Verkehr;Nichts;
1;sorgfältiges Lesen;Gewissenhaftes, sorgfältiges Arbeiten;
1;Sortieren von Ordnern;Gewissenhaftes, sorgfältiges Arbeiten;
1;sortierte Unterlagen und Dateien haben Vorteile;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten;
5;Soziale Beziehungen zu Kollegen gestärkt;Positive Einstellung zur Teamarbeit;
2;soziale Kompetenzen;Festigung von Kernkompetenzen;
2;sozialen Zusammenhalt erlebt und gelebt;Psychologische Sicherheit;Positive Einstellung zur Teamarbeit
5;Soziales Umfeld der Schüler kennenlernen;Nichts;
3;spannende neue Aufgaben für SuS;Nichts;
0;Spannung, ob Klassenarbeitsmodus funktioniert (hat geklappt);Nichts;
7;Spass;Jobzufriedenheit;
2;Spät abends keinen unterricht vorbereiten aufgrund fehlender konzentration und kreativität kommt kein guter unterricht zu stande. Dadurch entsteht unzufriedenheit.;Situationsdiagnostik;
1;späte Stunden bei grosser Hitze;Nichts;
5;speziell diese Klasse ist sehr langsam;Situationsdiagnostik;
5;Spielerische Übungen machen Spaß und regen zum Nachdenken und reflektieren an;Situationsdiagnostik;
5;Spontane Unterrichtsidee umgesetzt;Nichts;
5;Spontanität bei guter Vorbereitung hilft;Situationsdiagnostik;
0;Sportstunde mit Bewegungsspielen;Nichts;
0;Sportunterricht in der letzten Stunde ist nicht gerade effektiv.;Situationsdiagnostik;
1;Sprachförderung;Festigung von Kernkompetenzen;
0;ß;Vermutliche Falscheingabe;
0;Stadtinterner Feiertag, Heimatfest mit Umzügen, Beteiligung der Schule teilweise;Nichts;
3;Stand aktueller Information;Wissenserweiterung;
0;Stand der Ausbildungsplätze bei den Schülern;Wissenserweiterung;
7;Stand der didaktischen Kompetenzen bei den Lehrkräften;Wissenserweiterung;
0;Standardaufgaben;Nichts;
0;Standardtätigkeit;Nichts;
0;Standardunterricht;Nichts;
0;Ständige Unterbrechungen;Nichts;
1;Stärkung der Flexibilisierung;Festigung von Kernkompetenzen;
7;Statistik und Forschungsmethoden;Lernen neuer Arbeitsmethoden;
0;steigende Infektionszahlen zeigen sich im Schulalltag;Nichts;
4;Stellenbewertungsverfahren und -kriterien für Schulsekretariate;Wissenserweiterung;
7;Step by step Microcontrollerboard-Aufgaben ausprobiert;Wissenserweiterung;
2;Steuerung mehr an Schüler übergeben;Situationsdiagnostik;
1;Stille Schülerin hat sich sehr gut vorbereitet und eine gelungene Leistung erbracht,;Situationsdiagnostik;
1;Stimmprobleme wegen fehlender Klassendisziplin;Nichts;
5;Stimmschulung, Körpergefühl, Achtsamkeit;Sonstiges;
4;Stimmtraining, Rückentraining;Nichts;
7;stöbern hilft um altes nochmal aufzubeteiten;Situationsdiagnostik;
2;Stoff neu aufbereitet, Klassenarbeit korrigiert;Nichts;
5;Stoffgestaltung BWL WG12;Nichts;
2;Stoffgestaltung Fachschule;Nichts;
5;Stoffkenntnisse im Fach erweitert;Wissenserweiterung;
0;Stoffverteilungsplan erstellt;Nichts;
0;"Stoffverteilungsplan erstellt
";Nichts;
3;Stolpersteine in der KA identifiziert, Rückschlüsse für künftigen Unterricht;Situationsdiagnostik;
0;Straffe Orga;Nichts;
7;"Strahlenschutz
";Wissenserweiterung;
5;Strasbourg besser kennenlernen, gleichzeitig Kollegin treffen für nächsten Schüleraustausch mit Strasbourg;Nichts;
4;Strategien im Umgang mit Kollegen, die sich Aufgaben entziehen wollen;Wissenserweiterung;
4;Strategien von Lernberatungsgesprächen eingeübt;Lernen neuer Arbeitsmethoden;
1;Streit schlichten zwischen SchülerInnen;Nichts;
3;Strenger im umgang mit den Schülern sein und besser takten, damit keine Zeit für Nebengespräche sind;Situationsdiagnostik;
0;Stress;Emotionale Erschöpfung;
2;Streß des Vormittages bremst Leistung;Situationsdiagnostik;
3;Stress kann erst nach Feierabend abgebaut werden - zb beim Sport.;Situationsdiagnostik;
5;Stress mit Erholung ausgleichen;Pausenbewusstsein und Ressourcenschonung ;
7;Stress und Chaos entsteht dann, wenn die Situation nicht gut geplant ist.;Situationsdiagnostik;
0;Stress, da Präsenzzeit noch ansteht;Emotionale Erschöpfung;
2;Stressabbau durch gelungene Kommunikation untereinander;Positive Einstellung zur Teamarbeit;
0;Stressig wie gedacht, Zeitdruck, Noten zu ermitteln;Nichts;
1;Stringenter unterricht planen, mehr durchsetzungsvermögen;Festigung von Kernkompetenzen;
0;"Struktur der Fortbildungsplanung
";Wissenserweiterung;
4;Struktur der Schulverwaltung;Wissenserweiterung;
2;Struktur im Vergleich zu vergangenem Jahr verbessert.;Situationsdiagnostik;
1;Struktur ist alles;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten;
3;Struktur vorgegeben;Nichts;
5;Struktur zahlt sich aus;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten;
2;Struktur zu Beginn des neuen SJ sehr wichtig, Überblick verschaffen in Vorbereitungen;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten;
1;strukturelle Neuerungen;Wissenserweiterung;
2;strukturierte Arbeit;Gewissenhaftes, sorgfältiges Arbeiten;
0;Strukturiertes, zielorientiertes Arbeiten hilft, voranzukommen und Freizeit zu haben.;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten;
6;Stunde muss anders geplant werden.;Situationsdiagnostik;
0;Stundenplanprogramm noch detaillierter führen;Situationsdiagnostik;
1;Stundentafel Berufsfachschule;Nichts;
1;Stundentafel BK 1. Jahr in GGk hat 2 Stunden, Bedienung von untis;Nichts;
3;Stundentafel der KBS;Nichts;
1;Stundentafeln der Schularten für die ich zuständig bin, gepflegt;Nichts;
1;stures Verhalten von Dienstvorgesetzten;Nichts;
2;Sturheit in der Baubranche!;Nichts;
3;Stützunterricht;Nichts;
5;Subnetting und Routing;Nichts;
0;Suche von Praktikumsstellen;Nichts;
3;Super viele To dos abarbeiten, ohne den Überblick zu verlieren und nichts zu vergessen;Gewissenhaftes, sorgfältiges Arbeiten;
1;SUP-Paddel-Technik;Wissenserweiterung;
0;SuS arbeiten nicht präzise,sehr  ungenau;Situationsdiagnostik;
3;SuS auf bessere Lesbarkeit ihrer Schrift hinweisen, Rechtschreibfehler anstreichen;Nichts;
4;SuS bei Klassenarbeiten konsequent zur Ruhe ermahnen und so im Klassenraum platzieren, dass Täuschungsversuche erschwert werden;Situationsdiagnostik;
4;SuS besser auf die praktische Prüfung vorbereiten;Situationsdiagnostik;
3;SuS frühe nach Hilfebedürfnis fragen;Situationsdiagnostik;
0;SuS haben einen sehr geringen Lernfortschritt im Volleyball.;Situationsdiagnostik;
2;SuS haben Lerninhalte teilweise wirklich gut  umgesetzt in der KA;Situationsdiagnostik;
2;SuS haben zum Teil gar keine Vorstellung, wo unsere Lebensmittel herkommen - andere Möglichkeiten finden dies näherzubringen;Situationsdiagnostik;
0;SuS können im Abitur evtl. nicht ihr normale Leistung abrufen, sind wohl zu aufgeregt;Situationsdiagnostik;
5;SuS machen keine Hausaufgaben, Unterricht kann nicht verlässlich auf den Ergebnissen von Hausaufgaben aufgebaut werden, Zeitprobleme entstehen,;Situationsdiagnostik;
2;SuS machen lassen, Verantwortung abgeben;Situationsdiagnostik;
4;SuS mehr Excursionen anbieten, das Geedback war toll;Situationsdiagnostik;
5;SuS melden sich, weil sie Sorgen haben. Ich versuche die SuS dann aufzubauen und zu stärken.;Situationsdiagnostik;
5;SuS nicht sofort bei schlechter Note eine Zusatzleistung anbieten.;Situationsdiagnostik;
0;Sus nicht vom Thema ablenken lassen;Situationsdiagnostik;
2;sus nicht zu viel Wahl lassen;Situationsdiagnostik;
4;SuS noch viel mehr bei Aufräumarbeiten mit einbinden;Situationsdiagnostik;
2;SuS scheinen auch leichte Klausurfragen nicht als leicht zu empfinden.;Situationsdiagnostik;
1;SuS tun sich schwer mit wissenschaftlichen Arbeiten.;Situationsdiagnostik;
1;SuS unterrichten macht mir Freude;Jobzufriedenheit;
4;SuS versuchen Lehrer gegeneinander auszuspielen;Situationsdiagnostik;
6;SuS versuchen Lehrer gegeneinander auszuspielen, sie behaupten Lehrer 1 hätte das gesagt und Lehrer 2 ist verantwortlich und damit schuldig das SuS die Prüfung bestehen. Kommunikation zw. SuS und Lehrer und zw. Lehrern schwierig;Situationsdiagnostik;
3;SuS widersprechen sich in Klassenarbeiten z.T. haarsträubend. Sie merken gar nicht, dass sie in einer Aufgabe etwas behaupten und in der nächsten genau das Gegenteil schreiben.;Situationsdiagnostik;
1;Synthesizer im Internet;Nichts;
0;systematische Abarbeitung ist effektiv;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten;
5;systemisch Denken und Handeln;Festigung von Kernkompetenzen;
5;Systemische kommunikation, ZLV;Festigung von Kernkompetenzen;
1;Tafelbilder gestalten;Nichts;
0;Tagebuch;Nichts;
0;Tagebuch Entschuldigungen;Nichts;
3;"Tagebuch Führung, Schüler anrufen, Praktika organisieren
";Nichts;
0;Tagebuch kontrolliert, Kollegen angeschrieben (offene Stunden), Ausbilder angeschrieben (offene Fehlzeiten)...;Nichts;
2;Tagesordnung zu umfangreich, schlecht strukturiert und zu sehr auf mich zentriert.;Situationsdiagnostik;
3;Tanz auf dem Vulkan Umgang mit schwierigen Schülern und bei mir selbst bleiben.;Fähigkeit zur Selbstreflexion;
0;Tasche packen;Nichts;
0;Tasche packen, Emails lesen;Nichts;
7;Tätigkeit als Fortbildner, sehr intensive Auseinandersetzung mit Unterrichtsstoff;Nichts;
1;Tätigkeiten abgeben;Nichts;
5;Tauschungsversuch nicht verhindert durch Warnung und Kontrollmaßnahmen;Situationsdiagnostik;
4;TeacherTool neu erstellt;Wissenserweiterung;
1;Teamarbeit;Positive Einstellung zur Teamarbeit;
2;Teamarbeit bei der Digitalisierubg könnte die Arbeitsbelasrung reduzieren.;Positive Einstellung zur Teamarbeit;
1;Teamarbeit mit Kollegen in Klasse, Päd. Umgang Kollege mit Klasse;Positive Einstellung zur Teamarbeit;
3;Teambildung;Positive Einstellung zur Teamarbeit;
2;Teamführung;Festigung von Kernkompetenzen;
3;Teamleitung;Festigung von Kernkompetenzen;
4;Teamteaching entlastet und macht Spaß;Positive Einstellung zur Teamarbeit;
0;Teamwork;Gegenseitige Unterstützung;
3;Teamwork ist hilfreich, don‘t worry - geht vieles spontan;Gelassenheit;Positive Einstellung zur Teamarbeit
2;Teamwork kann produktiv sein;Positive Einstellung zur Teamarbeit;
2;Teamwork macht vieles einfacher.;Positive Einstellung zur Teamarbeit;
4;Technik ist nicht zuverlässig;Situationsdiagnostik;
5;Technik kennengelernt;Wissenserweiterung;
4;Technik neu verkabrlt;Nichts;
1;"Technik sollte funktionieren
";Nichts;
0;Technik sollte funktioniren (PC);Nichts;
2;Technik verlängert Arbeitsprozesse;Situationsdiagnostik;
0;Technikerschule sind nicht mehr so gut wie früher;Situationsdiagnostik;
0;Technikunterricht ist nach Allgemeinbildung schwere Kost für die Schüler;Situationsdiagnostik;
5;Technisch-digitale Sharepointarbeit, Prozessgestaltung;Wissenserweiterung;
3;Technische Fortschritte;Wissenserweiterung;
3;technische Konstruktionen;Wissenserweiterung;
1;Technische Probleme müssen gelöst werden;Nichts;
0;technische Störungen behindern meinen Unterricht und ich muss damit leben;Situationsdiagnostik;
0;Technische Zeichnung erstellt;Nichts;
4;Technische, Nutzen von Programm für KuK und Orga;Wissenserweiterung;
3;technisches Wissen erweitert;Wissenserweiterung;
1;Teilnahme am Abiball mit Zeugnisübergabe;Nichts;
2;Teilnahme am Spendenlauf;Nichts;
0;Teilnahme an der Eröffnungskonferenz mündliches Abi zum 1. Mal;Nichts;
0;Telefonat mit Kollegin bezüglich einer Schülerin;Nichts;
0;Telefonat mit Schulleitung wegen Querdenkerschüler und heutiger Prüfungssituation;Nichts;
2;Telefonat und Korrespondenz mit Ausbildungsbetrieben;Nichts;
1;Telefonate bezüglich der Hospitationen;Nichts;
0;Telefonate mit Eltern;Nichts;
0;Temperaturen zu hoch.;Nichts;
2;Tempo im Unterricht erhöhen;Situationsdiagnostik;
0;Termin zu kurzfristig und zu kurz angesetzt;Situationsdiagnostik;
1;Terminabsprachen;Nichts;
2;Terminalbefehle bei macOS;Wissenserweiterung;
0;Terminbesprechung Multiplikatorenfortbildung;Nichts;
1;Termine eingetragen, Zeitmanagement;Festigung von Kernkompetenzen;
1;Termine immer mehrfach mitteilen;Gewissenhaftes, sorgfältiges Arbeiten;
1;Termine nicht diskutieren, sondern vorgeben.;Situationsdiagnostik;
2;Termine planen;Nichts;
5;Termine von ZSL kommen extrem kurzfristig;Situationsdiagnostik;
0;Terminorganisation bei Termineingängen über E-Mail;Nichts;
2;Terminplanung;Nichts;
1;Terminvereinbarung mit Stundenplankollege nötig, Bedarf an Aufnahmeprüfung WO vorhanden;Situationsdiagnostik;
2;Test von IT Systemen, Speichermöglichkeiten, Alternativen;Nichts;
1;Tests durchgeführt;Nichts;
1;Tests vorbereiten;Nichts;
3;Testung durchführen;Nichts;
0;Testung laufen immer gleich ab;Situationsdiagnostik;
2;Texhnikerarbeit präsentation;Nichts;
2;Textbausteine für Rückmeldungen wären gut.;Situationsdiagnostik;
1;Textleseverständnis will ich zukünftig mehr fördern;Situationsdiagnostik;
2;Textstelle wiedergefunden und analysiert;Nichts;
3;theaterpädagogische Übungen nicht zu schnell einsetzen;Situationsdiagnostik;
6;Thema bisher nicht unterrichtet;Nichts;
2;Thema Drehen mit dem neuen Tabellen abgeglichen;Nichts;
0;Thema eingeführt und den nachfolgenden Kollegen übergeben;Nichts;
2;Thema falsch rüber gebracht;Situationsdiagnostik;
0;Thema für Thema abhandeln, keine Parallelprozesse, keine Störungen;Situationsdiagnostik;
6;Thema neu didaktisch aufgearbeitet;Nichts;
2;Thema schwierig und trocken;Situationsdiagnostik;
2;Thematische Unterrichtsvorbereitung: Faust;Nichts;
3;Themen für KA zusammen stellen, Mail beantworten;Nichts;
1;Themen für Tätigkeitsbericht;Nichts;
7;Themen und U-Gestaltung zu neuen Pflichtlektüren;Wissenserweiterung;
2;Themenklärung;Nichts;
7;Themenkomplex Rassismus ist extrem groß und auch schwierig zu erfassen. Seit Wochen mühe ich mich ab, einen Überblick über das Thema zu bekommen - heute ist mir der Durchbruch gelungen.;Situationsdiagnostik;
2;Themenreduzierung, niveauangepasste Fragestellungen;Festigung von Kernkompetenzen;
2;Theorie - Praxis - Transfer -  Lernortkooperation;Nichts;
3;tolle Lösungen im Team bei Stundenplanung erarbeitet;Gemeinsame Planung und Problemlösung;
5;tolle Tätigkeit;Jobzufriedenheit;
6;Ton in Medien;Nichts;
1;Todo-Liste für ein Projekt erstellt.;Nichts;
3;Trauerfeier in der Klasse vorbereiten;Nichts;
3;"Treffen mit einem suizidalen Schüler und der Schulsozialarbeiterin; Beruhigung des Schülers und Vorschläge zu Achtsamkeitsübungen; Schüler unterschreibt einen „Lebenserhaltungsvertrag“; es bedarf nicht der „Klinikeinweisung“";Nichts;
2;Trotz Absenkung des Unterrichtsniveaus hatten die Schülerinnen Probleme bei der Bewältigung der Aufgaben. Die Schere zwischen Anforderung und Kompetenzen öffnet sich immer weiter.;Situationsdiagnostik;
2;Trotz aller technischen Ausstattung Dokumente auch noch mal in ausgedruckter Form dabeihaben;Gewissenhaftes, sorgfältiges Arbeiten;
0;Trotz Belehrung bei den Prüfungen streichen Schüler falsch Wahlaufgaben (oder streichen nicht);Situationsdiagnostik;
6;Trotz Pandemie und Erkrankung viel gemacht und sehr gute Ergebnisse erzielt;Fähigkeit zur Selbstreflexion;
3;TV-Prüfung PC vorbereiten;Nichts;
1;ü;Vermutliche Falscheingabe;
5;Üben ungewohnter Berechnungen;Nichts;
7;Über ein Berufsfeld an unserer Schule und deren Möglichkeiten für die SMV- Arbeit;Wissenserweiterung;
5;Über Pflichtlektüren informiert;Wissenserweiterung;
3;Überarbeiten, Kontrolle erstellte Prüfungsaufgaben;Nichts;
1;Überarbeitung Unterrichtsmaterial;Nichts;
1;Überarbeitung von Unterrichtsmaterialien;Nichts;
3;Überblick über Abläufe in der Berufsgruppe gegeben;Nichts;
2;Überblick über erledigte und anstehende Aufgaben;Nichts;
2;Überblick über Lernstoff;Wissenserweiterung;
3;Übergabe vom Korrekturen sollten rechtzeitig sein;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten;
2;gute Teamarbeit;Positive Einstellung zur Teamarbeit;
1;Überlegungen zu niveaudifferenziertem Unterricht;Wissenserweiterung;
3;Überlegungen zu Schulverwaltungsprogramm;Wissenserweiterung;
